,DMXR1,DMXR2,C0,C1,C2,C3,C4,C5
106,57859.187385896380878,57864.36283979797736,55.604900467731788183,334.8527583057642687,69.8442006044560344,1.5801013570138620068,3.4645726374672292103,2.6792675924476281324
108,57892.20266691612051,57894.235648969974132,31.040717908319084728,333.41035108145854338,69.357973381407546754,3.616864769397149626,3.1630890588201543423,1.3294845246479369827
110,57920.14841451875691,57922.162492967276194,17.102900916130817421,330.33051747254739894,78.28175872515434719,21.306967983527275834,-6.3730349002973447625,-14.532987157917830245
111,57947.97957440861501,57949.097715426847568,27.247962661401306406,334.15015933669008064,80.07298081779967447,6.3766473483338188544,-6.332543314190830941,-1.2895447196675124957
112,57977.913756823661966,57979.016658265427395,-48.451358203013931814,340.62526856739441428,83.798368385644025125,-4.2454425077213251427,-8.6525974624059553975,6.3115652365909600263
113,58008.947530430690673,58010.023237221044837,43.053123830384492976,337.13746963132126666,78.82606610154594762,9.90697631480887253,-3.9947035229446088422,-5.9951065256751974175
114,58038.861245807893287,58039.822153480410638,26.063233942087432382,337.11101955989067847,75.78911826783300398,7.755782269928992889,1.205161949514157893,-1.9751204322527131652
115,58069.68589859877102,58070.86756358615822,-0.28191851933624789694,341.3434126364330723,83.37331763644274929,-8.383302180972586726,-8.278577760091623716,9.03268066365792599
117,58137.56185296523472,58138.589410667918855,4.2003704807276491806,329.99739340503441554,82.60783618153394059,8.9964784859121422755,-8.517122702564483561,-1.8009125919266346649
118,58160.41587123604404,58161.52552215013566,40.962968138539686436,328.34307322908114202,82.960568735525299644,8.273086370708677251,-8.533427623623648373,-0.6606258437477592338
119,58187.343219508104085,58188.52199587381619,35.502119391996998843,332.90515424351383444,72.19933019911059091,-6.7760310301774477892,-2.323053522459490594,9.6371009159996408044
120,58211.24751642630145,58212.366340341897743,24.597772565372725495,332.25667405865550563,67.68813937359459487,1.4671931513562324056,2.219041895452069646,2.2468827885212521167
122,58267.22428178916743,58271.389241537974154,-5.3681027474551434864,303.57467839221015993,55.451444411815572266,15.68602866690506481,8.066619297070136696,-8.581436461872662846
123,58301.030704096148842,58302.1409648527042,20.880493938722782588,330.24275627496029983,74.93430685079080433,8.9913503148521130015,-2.40000646378229332,-2.056626824292267841
124,58334.897034536254075,58336.016434236349596,14.8436884100003645415,328.84413068270390568,82.05239307891770295,16.695053771893046957,-8.520362395655137533,-7.9997199213262373263
125,58364.84359059150302,58365.924936397517744,16.804468450436036875,332.0104668121921918,77.464061201834283565,13.01553167581804793,-4.0305146767461224044,-6.2652381918133475125
127,58424.64287049845007,58425.742059666117708,42.01357906308209067,335.12910601874744998,80.16001362126372953,7.409230471032692833,-3.9629794019075390565,-0.85860910606623541685
130,58489.515732661915532,58490.56226188845904,-24.685666561930602825,344.2901799931235587,76.467423900220822475,-9.948117485199425403,-3.3170885858036229799,9.155004001582739193
131,58517.38983251284662,58518.581696586734328,-33.37018412223146413,342.34119652276228862,76.54077304457143782,-6.771305691751337008,-5.1606857511774029135,6.364575663385348747
